[13:17:05] 192.168.0.151 -> 224.0.0.251 | UDP | 5353 -> 5353
[16:11:05] 192.168.0.165 -> 224.0.0.251 | OTHER | - -> -
[16:11:05] 142.250.194.234 -> 192.168.0.147 | UDP | 443 -> 62092
[16:11:05] 192.168.0.147 -> 142.250.194.234 | UDP | 62092 -> 443
[16:11:05] 192.168.0.147 -> 216.239.32.3 | UDP | 53766 -> 443
[16:11:05] 216.239.32.3 -> 192.168.0.147 | UDP | 443 -> 53766
[16:11:05] 192.168.0.147 -> 192.178.211.138 | TCP | 58260 -> 443
[16:11:05] 192.178.211.138 -> 192.168.0.147 | TCP | 443 -> 58260
[16:11:06] 192.168.0.147 -> 172.217.174.238 | TCP | 55923 -> 443
[16:11:06] 172.217.174.238 -> 192.168.0.147 | TCP | 443 -> 55923
[16:11:08] 192.168.0.147 -> 142.250.195.5 | TCP | 58298 -> 443
[16:11:08] 142.250.195.5 -> 192.168.0.147 | TCP | 443 -> 58298
[16:11:08] 23.215.215.82 -> 192.168.0.147 | TCP | 443 -> 52285
[16:11:08] 23.215.215.82 -> 192.168.0.147 | TCP | 443 -> 52285
[16:11:08] 192.168.0.147 -> 23.215.215.82 | TCP | 52285 -> 443
[16:11:08] 192.168.0.147 -> 23.215.215.82 | TCP | 52285 -> 443
[16:11:08] 23.215.215.82 -> 192.168.0.147 | TCP | 443 -> 52285
[16:11:09] 192.168.0.147 -> 192.178.168.94 | TCP | 58468 -> 443
[16:11:09] 192.178.168.94 -> 192.168.0.147 | TCP | 443 -> 58468
[16:11:10] 192.168.0.147 -> 142.250.195.5 | TCP | 61819 -> 443
[16:11:10] 142.250.195.5 -> 192.168.0.147 | TCP | 443 -> 61819
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:10] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49671
[16:11:10] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49700
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49700 -> 53
[16:11:10] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:11] 192.168.0.147 -> 192.168.0.1 | TCP | 49671 -> 53
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49700
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49700
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49671
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49671
[16:11:11] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 49671
